file,workflow_name,triggers,jobs,secrets,num_jobs,num_secrets
.github_workflows_release-zksync.yml,Release for ZkSync,[],['push_to_registry'],['env'],1,1
.github_workflows_release.yml,Release Axios,[],['releaseIt'],[],1,0
.github_workflows_release_nightly.yml,Langflow Nightly Build,[],"['release-nightly-base', 'release-nightly-main', 'call_docker_build_base', 'call_docker_build_main', 'call_docker_build_main_ep']",['env'],5,1
.github_workflows_spellcheck.yml,spell,[],['check'],[],1,0
.github_workflows_ssh-runner.yml,SSH into runners,[],['ssh_runner'],['env'],1,1
.github_workflows_stale.yml,Mark stale issues and pull requests,[],['stale'],[],1,0
.github_workflows_upgrade.yml,upgrade,[],"['upgrade', 'pr']",[],2,0
.github_workflows_windows_release.yml,Windows Release,[],['build'],['env'],1,1
.gitpod.yml,gitpodymldoc1,[],[],[],0,0
.publish.yml,Publish to Docker,[],['publish'],[],1,0
.travis.yml,travisymldoc1,[],[],[],0,0
1.yml,Create EC2,[],['deploy'],[],1,0
2.yml,Create EC2,[],['deploy'],[],1,0
a.yml,aymldoc1,[],[],[],0,0
advanced_vendor_codeception_base_wercker.yml,advanced_vendor_codeception_base_werckerymldoc1,[],[],[],0,0
ai-architectures_knowledge-base_milvus-docker-compose.yml,aiarchitectures_knowledgebase_milvusdockercomposeymldoc1,[],[],[],0,0
apm.yml,apm,[],[],[],0,0
app.yml,ssbpub,[],[],[],0,0
apps.yml,appsymldoc1,[],[],[],0,0
appveyor.yml,appveyorymldoc1,[],[],[],0,0
apt.yml,aptymldoc1,[],[],[],0,0
